Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adult Families in Shelter,Individuals in Adult Families in Shelter
15-Jan-21,35490,17119,52609,13919,4549,18468,9760,1970,4157
16-Jan-21,35554,17151,52705,13941,4558,18499,9791,1966,4146
17-Jan-21,35568,17160,52728,13940,4550,18490,9806,1969,4151
18-Jan-21,35631,17173,52804,13989,4558,18547,9809,1970,4158
19-Jan-21,35571,17118,52689,13974,4563,18537,9772,1968,4154
20-Jan-21,35589,17165,52754,13961,4569,18530,9799,1957,4126
21-Jan-21,35646,17207,52853,13965,4583,18548,9827,1959,4134
22-Jan-21,35642,17185,52827,13998,4571,18569,9813,1957,4129
23-Jan-21,35735,17270,53005,14036,4567,18603,9853,1961,4135
24-Jan-21,35664,17209,52873,14026,4574,18600,9818,1955,4124
25-Jan-21,35731,17192,52923,14066,4594,18660,9805,1964,4145
26-Jan-21,35659,17174,52833,14044,4583,18627,9798,1956,4125
27-Jan-21,35692,17198,52890,14020,4612,18632,9820,1953,4119
28-Jan-21,35668,17171,52839,14035,4596,18631,9802,1954,4122
29-Jan-21,35587,17147,52734,13948,4603,18551,9800,1959,4131
30-Jan-21,35563,17077,52640,13990,4595,18585,9758,1954,4122
31-Jan-21,35584,17079,52663,14010,4612,18622,9762,1947,4106
01-Feb-21,35690,17438,53128,13854,4507,18361,9950,1994,4213
02-Feb-21,35506,17075,52581,13952,4610,18562,9761,1940,4091
03-Feb-21,35202,16746,51948,13962,4526,18488,9590,1922,4056
04-Feb-21,34420,16180,50600,13772,4444,18216,9285,1867,3947
05-Feb-21,33533,15688,49221,13505,4308,17813,9026,1816,3820
06-Feb-21,32705,15256,47961,13216,4271,17487,8821,1737,3655
07-Feb-21,31171,14519,45690,12479,4219,16698,8303,1691,3563
08-Feb-21,30452,14286,44738,12268,3975,16243,8181,1644,3450
09-Feb-21,30363,14475,44838,12145,3970,16115,8314,1588,3329
10-Feb-21,30648,14833,45481,12105,4067,16172,8532,1558,3269
11-Feb-21,31127,14852,45979,12490,4161,16651,8559,1555,3258
12-Feb-21,30944,14727,45671,12510,4150,16660,8496,1491,3124
13-Feb-21,35391,16969,52360,13925,4567,18492,9709,1935,4087
14-Feb-21,35358,16959,52317,13940,4568,18508,9694,1927,4066
15-Feb-21,35323,16880,52203,13939,4578,18517,9647,1933,4081
16-Feb-21,35346,16995,52341,13861,4594,18455,9706,1935,4086
17-Feb-21,35248,16933,52181,13793,4588,18381,9689,1925,4067
18-Feb-21,35197,16929,52126,13775,4580,18355,9682,1923,4061
19-Feb-21,35269,16932,52201,13818,4576,18394,9692,1934,4082
20-Feb-21,35321,16938,52259,13868,4580,18448,9693,1930,4076
21-Feb-21,35260,16902,52162,13827,4570,18397,9670,1935,4086
22-Feb-21,35229,16908,52137,13816,4557,18373,9677,1930,4076
23-Feb-21,35249,16885,52134,13839,4564,18403,9660,1937,4089
24-Feb-21,35174,16824,51998,13859,4545,18404,9607,1933,4078
25-Feb-21,35182,16811,51993,13886,4541,18427,9606,1926,4066
26-Feb-21,35155,16828,51983,13861,4546,18407,9621,1916,4043
27-Feb-21,35165,16807,51972,13882,4556,18438,9612,1914,4042
28-Feb-21,35221,16794,52015,13918,4559,18477,9613,1919,4051
01-Mar-21,35802,17457,53259,13925,4530,18455,9968,1990,4203
02-Mar-21,35467,17100,52567,13923,4590,18513,9777,1931,4077
03-Mar-21,35108,16720,51828,13931,4503,18434,9579,1913,4036
04-Mar-21,34334,16161,50495,13732,4409,18141,9280,1866,3946
05-Mar-21,33599,15609,49208,13582,4347,17929,9000,1816,3819
06-Mar-21,32801,15307,48108,13279,4272,17551,8842,1738,3656
07-Mar-21,31049,14545,45594,12356,4195,16551,8324,1685,3550
08-Mar-21,30455,14389,44844,12220,3987,16207,8233,1632,3424
09-Mar-21,30359,14509,44868,12086,3981,16067,8329,1594,3340
10-Mar-21,30818,14863,45681,12210,4088,16298,8545,1569,3292
11-Mar-21,31190,14840,46030,12553,4175,16728,8562,1547,3242
12-Mar-21,30872,14725,45597,12449,4140,16589,8484,1495,3131
13-Mar-21,34900,16582,51482,13932,4508,18440,9491,1869,3953
14-Mar-21,34930,16546,51476,13954,4536,18490,9472,1867,3950
15-Mar-21,34926,16527,51453,13950,4532,18482,9462,1875,3968
16-Mar-21,34987,16484,51471,14031,4538,18569,9440,1874,3966
17-Mar-21,34879,16485,51364,13928,4526,18454,9434,1878,3976
18-Mar-21,34913,16498,51411,13948,4533,18481,9438,1882,3978
19-Mar-21,34852,16487,51339,13922,4504,18426,9430,1885,3978
20-Mar-21,34783,16467,51250,13877,4505,18382,9420,1879,3969
21-Mar-21,34810,16491,51301,13900,4509,18409,9440,1869,3947
22-Mar-21,34747,16422,51169,13911,4507,18418,9398,1865,3938
23-Mar-21,34683,16368,51051,13891,4504,18395,9375,1864,3938
24-Mar-21,34742,16342,51084,13928,4511,18439,9360,1877,3965
25-Mar-21,34693,16311,51004,13879,4517,18396,9352,1879,3968
26-Mar-21,34504,16261,50765,13790,4477,18267,9331,1867,3942
27-Mar-21,34511,16269,50780,13790,4459,18249,9340,1868,3941
28-Mar-21,34617,16267,50884,13869,4480,18349,9343,1865,3939
29-Mar-21,34600,16214,50814,13886,4484,18370,9313,1868,3946
30-Mar-21,34525,16227,50752,13820,4468,18288,9319,1861,3934
31-Mar-21,34542,16169,50711,13855,4467,18322,9300,1863,3940
01-Apr-21,35590,17365,52955,13787,4504,18291,9908,2000,4224
02-Apr-21,35452,17100,52552,13883,4595,18478,9772,1937,4091
03-Apr-21,35176,16720,51896,13989,4526,18515,9578,1911,4035
04-Apr-21,34419,16187,50606,13812,4406,18218,9299,1859,3928
05-Apr-21,33564,15631,49195,13557,4352,17909,8997,1811,3805
06-Apr-21,32714,15270,47984,13213,4263,17476,8819,1744,3667
07-Apr-21,30948,14563,45511,12221,4190,16411,8333,1696,3573
08-Apr-21,30601,14484,45085,12254,4004,16258,8292,1638,3436
09-Apr-21,30325,14570,44895,12013,3972,15985,8371,1591,3333
10-Apr-21,30903,14797,45700,12321,4109,16430,8516,1565,3284
11-Apr-21,31285,14903,46188,12641,4172,16813,8582,1541,3229
12-Apr-21,30901,14787,45688,12459,4120,16579,8512,1495,3132
13-Apr-21,34123,15992,50115,13727,4403,18130,9185,1843,3882
14-Apr-21,34077,16017,50094,13690,4391,18081,9197,1839,3871
15-Apr-21,34129,16003,50132,13738,4400,18138,9197,1840,3873
16-Apr-21,34110,15986,50096,13732,4394,18126,9191,1843,3882
17-Apr-21,34032,15947,49979,13699,4391,18090,9167,1840,3877
18-Apr-21,34028,15924,49952,13724,4375,18099,9150,1840,3877
19-Apr-21,33956,15911,49867,13657,4391,18048,9140,1841,3879
20-Apr-21,33857,15819,49676,13649,4361,18010,9095,1843,3882
21-Apr-21,33969,15883,49852,13733,4374,18107,9112,1835,3866
22-Apr-21,33956,15869,49825,13729,4371,18100,9106,1832,3860
23-Apr-21,33871,15875,49746,13628,4367,17995,9108,1836,3867
24-Apr-21,33869,15847,49716,13648,4359,18007,9106,1835,3861
25-Apr-21,33874,15822,49696,13694,4351,18045,9095,1831,3852
26-Apr-21,33850,15796,49646,13714,4344,18058,9075,1821,3835
27-Apr-21,33733,15789,49522,13605,4353,17958,9076,1816,3825
28-Apr-21,33771,15788,49559,13625,4355,17980,9080,1821,3832
29-Apr-21,33721,15735,49456,13625,4341,17966,9061,1814,3819
30-Apr-21,33622,15716,49338,13540,4321,17861,9054,1815,3819
01-May-21,35589,17316,52905,13876,4508,18384,9870,1977,4176
02-May-21,35366,17065,52431,13821,4576,18397,9759,1938,4091
03-May-21,35103,16766,51869,13939,4485,18424,9598,1908,4032
04-May-21,34361,16145,50506,13781,4418,18199,9257,1867,3945
05-May-21,33638,15629,49267,13606,4382,17988,9039,1804,3792
06-May-21,32613,15279,47892,13145,4242,17387,8830,1733,3646
07-May-21,31033,14528,45561,12293,4231,16524,8314,1693,3567
08-May-21,30606,14507,45113,12240,4005,16245,8309,1633,3426
09-May-21,30404,14604,45008,12043,3981,16024,8388,1601,3356
10-May-21,30943,14839,45782,12349,4090,16439,8540,1569,3292
11-May-21,31194,14922,46116,12539,4164,16703,8592,1544,3237
12-May-21,30943,14802,45745,12466,4137,16603,8516,1500,3142
13-May-21,33293,15515,48808,13474,4347,17821,8930,1780,3742
14-May-21,33266,15496,48762,13460,4336,17796,8934,1781,3744
15-May-21,33246,15536,48782,13427,4318,17745,8957,1780,3743
16-May-21,33241,15515,48756,13451,4326,17777,8937,1775,3733
17-May-21,33191,15456,48647,13429,4337,17766,8908,1778,3739
18-May-21,33074,15418,48492,13365,4325,17690,8905,1763,3708
19-May-21,33026,15346,48372,13396,4311,17707,8867,1760,3701
20-May-21,33012,15376,48388,13355,4328,17683,8875,1754,3688
21-May-21,32919,15375,48294,13285,4305,17590,8865,1764,3708
22-May-21,32877,15378,48255,13275,4294,17569,8859,1757,3693
23-May-21,32894,15341,48235,13343,4283,17626,8831,1751,3681
24-May-21,32944,15330,48274,13376,4310,17686,8824,1760,3699
25-May-21,32876,15312,48188,13333,4299,17632,8833,1748,3674
26-May-21,32873,15326,48199,13339,4297,17636,8838,1740,3656
27-May-21,32868,15372,48240,13312,4289,17601,8845,1750,3675
28-May-21,32888,15365,48253,13320,4305,17625,8852,1744,3664
29-May-21,32944,15347,48291,13377,4307,17684,8858,1738,3653
30-May-21,32968,15362,48330,13386,4285,17671,8879,1743,3663
31-May-21,32887,15341,48228,13317,4266,17583,8872,1748,3675
01-Jun-21,35585,17362,52947,13836,4522,18358,9896,1975,4173
02-Jun-21,35407,17064,52471,13843,4588,18431,9766,1943,4103
03-Jun-21,35146,16794,51940,13955,4493,18448,9612,1903,4020
04-Jun-21,34225,16044,50269,13750,4404,18154,9205,1859,3927
05-Jun-21,33560,15587,49147,13551,4389,17940,8985,1803,3792
06-Jun-21,32679,15298,47977,13196,4241,17437,8847,1731,3642
07-Jun-21,31146,14549,45695,12386,4232,16618,8324,1693,3565
08-Jun-21,30553,14481,45034,12195,3994,16189,8302,1634,3428
09-Jun-21,30334,14536,44870,12029,3970,15999,8354,1601,3356
10-Jun-21,30941,14817,45758,12359,4085,16444,8537,1566,3285
11-Jun-21,31050,14898,45948,12486,4117,16603,8558,1549,3245
12-Jun-21,30991,14787,45778,12534,4146,16680,8498,1502,3147
13-Jun-21,32652,15245,47897,13208,4263,17471,8800,1736,3647
14-Jun-21,32634,15195,47829,13241,4272,17513,8762,1739,3654
15-Jun-21,32573,15173,47746,13199,4263,17462,8759,1738,3652
16-Jun-21,32593,15169,47762,13204,4268,17472,8768,1737,3648
17-Jun-21,32493,15165,47658,13165,4242,17407,8755,1728,3633
18-Jun-21,32563,15192,47755,13214,4241,17455,8777,1722,3622
19-Jun-21,32486,15181,47667,13145,4238,17383,8775,1722,3623
20-Jun-21,32473,15171,47644,13125,4253,17378,8767,1723,3624
21-Jun-21,32445,15076,47521,13150,4262,17412,8704,1728,3637
22-Jun-21,32500,15109,47609,13158,4282,17440,8721,1731,3643
23-Jun-21,32335,15079,47414,13025,4272,17297,8703,1733,3649
24-Jun-21,32296,15082,47378,12954,4293,17247,8709,1734,3650
25-Jun-21,32188,15079,47267,12878,4272,17150,8709,1729,3638
26-Jun-21,32103,15101,47204,12831,4231,17062,8716,1725,3629
27-Jun-21,32052,15062,47114,12826,4214,17040,8685,1728,3635
28-Jun-21,32039,15037,47076,12805,4232,17037,8658,1733,3651
29-Jun-21,32023,15090,47113,12772,4215,16987,8691,1730,3646
30-Jun-21,31987,15058,47045,12752,4229,16981,8674,1730,3645
01-Jul-21,35522,17259,52781,13859,4533,18392,9827,1976,4175
02-Jul-21,35410,17004,52414,13894,4592,18486,9731,1939,4094
03-Jul-21,35232,16809,52041,14008,4505,18513,9624,1903,4019
04-Jul-21,34175,16031,50206,13729,4378,18107,9208,1856,3915
05-Jul-21,33511,15606,49117,13490,4377,17867,8999,1807,3800
06-Jul-21,32704,15238,47942,13235,4261,17496,8800,1746,3673
07-Jul-21,31012,14536,45548,12358,4184,16542,8303,1681,3540
08-Jul-21,30547,14473,45020,12192,4009,16201,8295,1632,3422
09-Jul-21,30532,14586,45118,12160,3999,16159,8378,1602,3358
10-Jul-21,30919,14847,45766,12315,4078,16393,8539,1577,3304
12-Jul-21,31007,14773,45780,12545,4169,16714,8500,1491,3125
13-Jul-21,31058,14539,45597,12407,4176,16583,8282,1680,3539
14-Jul-21,31034,14490,45524,12425,4158,16583,8269,1681,3544
15-Jul-21,30993,14528,45521,12403,4129,16532,8305,1673,3525
16-Jul-21,30943,14545,45488,12386,4117,16503,8310,1664,3501
17-Jul-21,30954,14561,45515,12364,4115,16479,8325,1666,3509
18-Jul-21,30986,14550,45536,12396,4122,16518,8316,1670,3517
19-Jul-21,30906,14453,45359,12367,4115,16482,8273,1672,3521
20-Jul-21,30880,14435,45315,12349,4111,16460,8262,1677,3530
21-Jul-21,30823,14435,45258,12358,4100,16458,8257,1653,3478
22-Jul-21,30776,14429,45205,12310,4092,16402,8260,1654,3479
23-Jul-21,30678,14460,45138,12242,4084,16326,8287,1632,3434
24-Jul-21,30745,14497,45242,12270,4071,16341,8318,1638,3446
25-Jul-21,30798,14491,45289,12317,4086,16403,8306,1639,3447
26-Jul-21,30705,14443,45148,12338,4026,16364,8267,1643,3455
27-Jul-21,30552,14448,45000,12307,3923,16230,8271,1630,3428
28-Jul-21,30409,14454,44863,12267,3801,16068,8282,1636,3440
29-Jul-21,30691,14482,45173,12319,3989,16308,8299,1640,3448
30-Jul-21,30618,14483,45101,12248,3977,16225,8296,1648,3463
31-Jul-21,30443,14305,44748,12252,3982,16234,8192,1630,3424
01-Aug-21,35534,17220,52754,13872,4526,18398,9817,1984,4193
02-Aug-21,35425,16957,52382,13937,4604,18541,9695,1944,4106
03-Aug-21,35161,16720,51881,14011,4495,18506,9571,1901,4016
04-Aug-21,34140,16049,50189,13683,4380,18063,9220,1856,3916
05-Aug-21,33466,15630,49096,13479,4360,17839,8994,1804,3794
06-Aug-21,32680,15239,47919,13246,4234,17480,8798,1737,3654
07-Aug-21,31065,14500,45565,12438,4200,16638,8278,1672,3523
08-Aug-21,30695,14491,45186,12278,4021,16299,8309,1646,3453
09-Aug-21,30415,14585,45000,12083,3996,16079,8374,1587,3330
10-Aug-21,30928,14923,45851,12296,4073,16369,8586,1566,3284
11-Aug-21,31118,14809,45927,12538,4148,16686,8524,1563,3270
12-Aug-21,31054,14782,45836,12595,4157,16752,8507,1491,3125
13-Aug-21,30701,14512,45213,12251,4037,16288,8328,1639,3443
14-Aug-21,30684,14504,45188,12268,4024,16292,8330,1630,3426
15-Aug-21,30680,14522,45202,12229,4028,16257,8342,1637,3440
16-Aug-21,30740,14522,45262,12254,4048,16302,8347,1639,3443
17-Aug-21,30661,14542,45203,12211,4029,16240,8362,1621,3406
18-Aug-21,30551,14375,44926,12258,4047,16305,8259,1609,3382
19-Aug-21,30577,14382,44959,12289,4030,16319,8268,1608,3379
20-Aug-21,30523,14404,44927,12242,4025,16267,8278,1605,3371
21-Aug-21,30548,14433,44981,12259,4009,16268,8307,1598,3356
22-Aug-21,30658,14472,45130,12326,4026,16352,8330,1599,3358
23-Aug-21,30658,14474,45132,12303,4021,16324,8335,1614,3387
24-Aug-21,30529,14480,45009,12237,4010,16247,8326,1598,3355
25-Aug-21,30449,14433,44882,12217,3988,16205,8299,1601,3359
26-Aug-21,30444,14392,44836,12230,4012,16242,8272,1592,3342
27-Aug-21,30366,14420,44786,12156,3992,16148,8289,1585,3326
28-Aug-21,30368,14458,44826,12125,4003,16128,8315,1585,3325
29-Aug-21,30424,14480,44904,12152,4010,16162,8321,1588,3331
30-Aug-21,30439,14446,44885,12176,4007,16183,8302,1601,3358
31-Aug-21,30342,14425,44767,12131,4003,16134,8293,1591,3338
01-Sept-21,35584,17261,52845,13875,4536,18411,9843,1987,4199
02-Sept-21,35455,17015,52470,13922,4595,18517,9738,1938,4095
03-Sept-21,35052,16608,51660,13978,4509,18487,9508,1898,4012
04-Sept-21,34141,16015,50156,13713,4387,18100,9206,1849,3899
05-Sept-21,33565,15619,49184,13614,4346,17960,8981,1802,3791
06-Sept-21,32597,15201,47798,13190,4241,17431,8776,1735,3651
07-Sept-21,30943,14526,45469,12273,4207,16480,8291,1682,3543
08-Sept-21,30779,14486,45265,12318,4040,16358,8312,1652,3466
09-Sept-21,30515,14616,45131,12172,4016,16188,8387,1576,3306
10-Sept-21,30963,14947,45910,12279,4073,16352,8603,1578,3309
11-Sept-21,31036,14756,45792,12544,4150,16694,8493,1537,3217
12-Sept-21,31015,14816,45831,12536,4156,16692,8529,1486,3116
13-Sept-21,30420,14572,44992,12111,4005,16116,8341,1593,3339
14-Sept-21,30474,14581,45055,12145,4030,16175,8353,1582,3316
15-Sept-21,30485,14617,45102,12149,4034,16183,8378,1573,3295
16-Sept-21,30510,14623,45133,12164,4032,16196,8378,1576,3302
17-Sept-21,30476,14641,45117,12109,4015,16124,8400,1579,3308
18-Sept-21,30487,14654,45141,12074,4032,16106,8415,1579,3308
19-Sept-21,30598,14707,45305,12124,4038,16162,8452,1585,3320
20-Sept-21,30611,14653,45264,12161,4064,16225,8412,1592,3333
21-Sept-21,30670,14732,45402,12186,4059,16245,8460,1585,3316
22-Sept-21,30596,14616,45212,12214,4076,16290,8383,1573,3293
23-Sept-21,30645,14656,45301,12253,4090,16343,8406,1562,3271
24-Sept-21,30599,14721,45320,12161,4073,16234,8436,1568,3283
25-Sept-21,30683,14760,45443,12180,4082,16262,8466,1573,3296
26-Sept-21,30764,14750,45514,12261,4079,16340,8471,1575,3299
27-Sept-21,30827,14789,45616,12272,4076,16348,8495,1585,3318
28-Sept-21,30803,14741,45544,12312,4080,16392,8478,1569,3285
01-Oct-21,35668,17287,52955,13930,4548,18478,9859,1990,4203
02-Oct-21,35422,16985,52407,13922,4577,18499,9721,1940,4098
03-Oct-21,35068,16617,51685,13998,4519,18517,9514,1890,3995
04-Oct-21,34106,16053,50159,13688,4358,18046,9218,1849,3900
05-Oct-21,33430,15504,48934,13565,4361,17926,8920,1795,3776
06-Oct-21,32659,15288,47947,13202,4245,17447,8817,1732,3646
07-Oct-21,30980,14525,45505,12299,4192,16491,8290,1688,3555
08-Oct-21,30813,14541,45354,12308,4067,16375,8335,1645,3452
09-Oct-21,30426,14617,45043,12087,3992,16079,8400,1577,3308
10-Oct-21,31010,14907,45917,12326,4098,16424,8585,1581,3314
11-Oct-21,31037,14806,45843,12502,4143,16645,8523,1540,3227
12-Oct-21,30991,14908,45899,12456,4125,16581,8581,1496,3136
13-Oct-21,31159,14955,46114,12420,4123,16543,8614,1581,3320
14-Oct-21,31068,14911,45979,12373,4101,16474,8590,1584,3324
15-Oct-21,30984,14938,45922,12312,4084,16396,8604,1580,3315
16-Oct-21,30938,14972,45910,12295,4075,16370,8615,1563,3280
17-Oct-21,31088,14949,46037,12406,4081,16487,8613,1580,3314
18-Oct-21,31085,14900,45985,12410,4108,16518,8592,1577,3307
19-Oct-21,31120,14906,46026,12453,4120,16573,8585,1575,3299
20-Oct-21,31087,14930,46017,12379,4135,16514,8604,1575,3298
21-Oct-21,31102,14937,46039,12365,4148,16513,8611,1577,3304
21-Oct-21,31102,14937,46039,12365,4148,16513,8611,1577,3304
22-Oct-21,31052,14961,46013,12322,4117,16439,8624,1578,3307
23-Oct-21,31100,14976,46076,12346,4113,16459,8639,1584,3322
24-Oct-21,31200,14973,46173,12451,4126,16577,8640,1576,3304
25-Oct-21,31042,14865,45907,12461,4032,16493,8578,1579,3312
26-Oct-21,31123,14886,46009,12458,4160,16618,8579,1559,3268
27-Oct-21,31090,14921,46011,12425,4141,16566,8599,1559,3264
28-Oct-21,31220,14927,46147,12500,4179,16679,8599,1567,3285
29-Oct-21,31187,14931,46118,12478,4151,16629,8616,1562,3274
30-Oct-21,31111,14893,46004,12455,4127,16582,8596,1560,3270
31-Oct-21,31023,14887,45910,12386,4113,16499,8591,1559,3267
01-Nov-21,35656,17250,52906,13943,4544,18487,9836,1991,4204
02-Nov-21,35366,16956,52322,13899,4573,18472,9699,1938,4094
03-Nov-21,35087,16618,51705,14009,4530,18539,9531,1883,3980
04-Nov-21,34286,16050,50336,13820,4405,18225,9210,1852,3906
05-Nov-21,33350,15458,48808,13537,4360,17897,8894,1784,3753
06-Nov-21,32623,15265,47888,13174,4248,17422,8808,1740,3659
07-Nov-21,31026,14538,45564,12321,4190,16511,8307,1695,3569
08-Nov-21,30764,14527,45291,12295,4045,16340,8317,1647,3459
09-Nov-21,30370,14659,45029,12008,3988,15996,8416,1579,3311
10-Nov-21,31049,14851,45900,12417,4099,16516,8547,1580,3316
11-Nov-21,31107,14812,45919,12537,4164,16701,8537,1536,3220
12-Nov-21,30910,14855,45765,12445,4094,16539,8560,1487,3117
13-Nov-21,31085,14860,45945,12498,4129,16627,8569,1538,3223
14-Nov-21,31155,14812,45967,12575,4152,16727,8541,1543,3233
15-Nov-21,31176,14761,45937,12622,4151,16773,8521,1541,3229
16-Nov-21,31119,14769,45888,12597,4152,16749,8523,1528,3202
17-Nov-21,31179,14804,45983,12604,4181,16785,8554,1523,3192
18-Nov-21,31101,14781,45882,12577,4155,16732,8545,1514,3173
19-Nov-21,31010,14795,45805,12546,4130,16676,8545,1496,3136
20-Nov-21,31053,14775,45828,12565,4131,16696,8547,1503,3149
21-Nov-21,31028,14728,45756,12577,4132,16709,8511,1511,3166
22-Nov-21,31069,14769,45838,12560,4165,16725,8528,1509,3162
22-Nov-21,31069,14769,45838,12560,4165,16725,8528,1509,3162
23-Nov-21,31043,14691,45734,12610,4163,16773,8481,1497,3138
24-Nov-21,31001,14745,45746,12551,4133,16684,8513,1502,3145
25-Nov-21,30946,14788,45734,12452,4105,16557,8544,1512,3167
26-Nov-21,30919,14790,45709,12420,4122,16542,8550,1503,3149
27-Nov-21,30978,14726,45704,12527,4122,16649,8514,1503,3148
28-Nov-21,31022,14714,45736,12563,4132,16695,8500,1514,3170
29-Nov-21,31120,14713,45833,12616,4169,16785,8494,1513,3169
30-Nov-21,31110,14727,45837,12617,4182,16799,8498,1501,3142
01-Dec-21,35547,17229,52776,13896,4540,18436,9809,1980,4183
02-Dec-21,35346,16943,52289,13909,4563,18472,9690,1934,4085
03-Dec-21,34889,16550,51439,13939,4501,18440,9476,1873,3960
04-Dec-21,34225,15987,50212,13792,4418,18210,9184,1854,3904
05-Dec-21,33309,15476,48785,13492,4352,17844,8916,1778,3738
06-Dec-21,32620,15253,47873,13195,4234,17429,8802,1735,3646
07-Dec-21,31116,14538,45654,12414,4210,16624,8282,1691,3562
08-Dec-21,30708,14499,45207,12268,4057,16325,8304,1635,3435
09-Dec-21,30438,14650,45088,12069,3999,16068,8411,1582,3317
10-Dec-21,31029,14857,45886,12374,4115,16489,8554,1581,3319
11-Dec-21,31038,14783,45821,12492,4148,16640,8539,1534,3216
12-Dec-21,31071,14855,45926,12556,4131,16687,8559,1497,3137
13-Dec-21,31084,14861,45945,12546,4153,16699,8553,1497,3137
14-Dec-21,31040,14830,45870,12558,4150,16708,8547,1480,3100
15-Dec-21,30949,14735,45684,12558,4138,16696,8501,1472,3083
16-Dec-21,30965,14756,45721,12566,4112,16678,8513,1478,3096
17-Dec-21,30839,14773,45612,12450,4083,16533,8526,1476,3089
18-Dec-21,30853,14772,45625,12482,4086,16568,8520,1467,3071
19-Dec-21,30926,14737,45663,12561,4090,16651,8511,1467,3074
20-Dec-21,30931,14665,45596,12561,4127,16688,8463,1481,3103
23-Dec-21,30897,14674,45571,12534,4133,16667,8467,1470,3078
24-Dec-21,30741,14658,45399,12410,4112,16522,8460,1465,3067
25-Dec-21,30696,14705,45401,12368,4064,16432,8482,1470,3077
26-Dec-21,30786,14659,45445,12504,4070,16574,8460,1457,3051
27-Dec-21,30788,14576,45364,12536,4079,16615,8413,1465,3067
28-Dec-21,30665,14574,45239,12481,4098,16579,8384,1447,3030
29-Dec-21,30687,14612,45299,12497,4062,16559,8413,1445,3026
30-Dec-21,30644,14601,45245,12444,4057,16501,8417,1449,3031
31-Dec-21,30400,14596,44996,12269,3978,16247,8430,1447,3027
01-Jan-22,30554,14659,45213,12354,3993,16347,8455,1453,3041
01-Feb-22,30622,14663,45285,12397,4037,16434,8459,1441,3016
01-Mar-22,30674,14589,45263,12488,4035,16523,8421,1448,3031
01-Apr-22,30630,14508,45138,12526,4039,16565,8380,1445,3023
01-May-22,30670,14581,45251,12498,4043,16541,8416,1455,3042
